career_title,skills_required,duration,original_price,discounted_price,next_batch_date,degrees
Business Development Executive,Communication (Spoken/Writing); Basic MS Word Excel and PowerPoint,2 weeks,2999,1999,2026-02-01,BE|BTech|BCA|MCA
Data Analysis,Basics of Analytics; Any Visualization Tool; Basics of Database Management; Basic MS Word Excel and PowerPoint,4 weeks,4999,2999,2026-02-01,BE|BTech|BCA|MCA
Software Engineer (Frontend),HTML; JavaScript; ReactJS; System Architecture; SEO; Agile,4 weeks,6999,3999,2026-02-01,BE|BTech|BCA|MCA
Software Engineer (Backend),Data Structures; Python; Database; Agile,4 weeks,8999,4999,2026-02-01,BE|BTech|BCA|MCA
QA Engineer,Software Testing; Database Management System; Agile,4 weeks,4999,2999,2026-02-01,BE|BTech|BCA|MCA
