"city_id","name","state_id","name"
75,Kolar,9,Himachal Pradesh
75,Kolar,12,Karnataka
76,Kolkata,29,West Bengal
76,Kolkata,177,Saskatchewan
76,Kolkata,199,Piedmont
77,Kollam,13,Kerala
78,Korba,5,Chhattisgarh
79,Kota,1,Andhra Pradesh
79,Kota,5,Chhattisgarh
79,Kota,12,Karnataka
79,Kota,14,Madhya Pradesh
79,Kota,22,Rajasthan
79,Kota,28,Uttar Pradesh
80,Kozhikode,13,Kerala
81,Latur,15,Maharashtra
82,Lucknow,27,Uttarakhand
82,Lucknow,28,Uttar Pradesh
82,Lucknow,70,Mississippi
82,Lucknow,188,Abruzzo
82,Lucknow,189,Basilicata
83,Ludhiana,9,Himachal Pradesh
83,Ludhiana,21,Punjab
83,Ludhiana,182,Upper Austria
84,Madhepura,4,Bihar
85,Madurai,24,Tamil Nadu
86,Malappuram,13,Kerala
87,Malda,5,Chhattisgarh
87,Malda,11,Jharkhand
87,Malda,29,West Bengal
88,Mandya,12,Karnataka
89,Meerut,28,Uttar Pradesh
89,Meerut,43,Delhi NCR
90,Moradabad,28,Uttar Pradesh
90,Moradabad,70,Mississippi
91,Morena,14,Madhya Pradesh
92,Munger,4,Bihar
92,Munger,9,Himachal Pradesh
93,Muzaffarnagar,28,Uttar Pradesh
93,Muzaffarnagar,43,Delhi NCR
94,Muzaffarpur,4,Bihar
94,Muzaffarpur,21,Punjab
94,Muzaffarpur,28,Uttar Pradesh
95,Mysuru,12,Karnataka
96,Nagpur,5,Chhattisgarh
96,Nagpur,8,Haryana
96,Nagpur,14,Madhya Pradesh
96,Nagpur,15,Maharashtra
96,Nagpur,28,Uttar Pradesh
97,Nalgonda,25,Telangana
98,Nashik,15,Maharashtra
99,Navsari,7,Gujarat
99,Navsari,30,Andaman and Nicobar Islands
100,New Delhi,8,Haryana
100,New Delhi,28,Uttar Pradesh
100,New Delhi,34,Delhi
100,New Delhi,43,Delhi NCR
101,Nizamabad,1,Andhra Pradesh
101,Nizamabad,25,Telangana
101,Nizamabad,28,Uttar Pradesh
102,Palakkad,13,Kerala
103,Palghar,15,Maharashtra
104,Pali,5,Chhattisgarh
104,Pali,8,Haryana
104,Pali,14,Madhya Pradesh
104,Pali,15,Maharashtra
104,Pali,22,Rajasthan
104,Pali,28,Uttar Pradesh
105,Patiala,3,Assam
105,Patiala,21,Punjab
106,Patna,4,Bihar
106,Patna,5,Chhattisgarh
106,Patna,7,Gujarat
106,Patna,12,Karnataka
106,Patna,27,Uttarakhand
106,Patna,28,Uttar Pradesh
106,Patna,29,West Bengal
106,Patna,56,Idaho
107,Peddapalli,1,Andhra Pradesh
107,Peddapalli,25,Telangana
108,Perambalur,24,Tamil Nadu
109,Puducherry,24,Tamil Nadu
109,Puducherry,36,Puducherry
110,Pune,15,Maharashtra
110,Pune,161,West Nusa Tenggara
111,Raebareli,28,Uttar Pradesh
112,Raichur,12,Karnataka
112,Raichur,25,Telangana
113,Raigad,15,Maharashtra
114,Raipur,5,Chhattisgarh
114,Raipur,7,Gujarat
114,Raipur,14,Madhya Pradesh
114,Raipur,15,Maharashtra
114,Raipur,20,Odisha
114,Raipur,21,Punjab
114,Raipur,22,Rajasthan
114,Raipur,28,Uttar Pradesh
114,Raipur,29,West Bengal
114,Raipur,78,New York
115,Rajkot,5,Chhattisgarh
115,Rajkot,7,Gujarat
115,Rajkot,22,Rajasthan
115,Rajkot,28,Uttar Pradesh
116,Rajnandgaon,5,Chhattisgarh
117,Ranchi,11,Jharkhand
118,Rohtak,8,Haryana
118,Rohtak,43,Delhi NCR
119,Salem,6,Goa
119,Salem,24,Tamil Nadu
119,Salem,51,Delaware
119,Salem,66,Massachusetts
120,Sangli,5,Chhattisgarh
120,Sangli,15,Maharashtra
121,Shimla,9,Himachal Pradesh
121,Shimla,22,Rajasthan
121,Shimla,28,Uttar Pradesh
122,Sirsa,8,Haryana
122,Sirsa,28,Uttar Pradesh
123,Solapur,11,Jharkhand
123,Solapur,12,Karnataka
123,Solapur,15,Maharashtra
123,Solapur,20,Odisha
123,Solapur,28,Uttar Pradesh
124,Sonipat,8,Haryana
124,Sonipat,43,Delhi NCR
125,Srikakulam,1,Andhra Pradesh
126,Surat,7,Gujarat
126,Surat,9,Himachal Pradesh
126,Surat,32,Dadra and Nagar Haveli
127,Surendranagar,7,Gujarat
127,Surendranagar,15,Maharashtra
128,Suryapet,25,Telangana
129,Thane,15,Maharashtra
130,Thanjavur,24,Tamil Nadu
131,Thiruvananthapuram,13,Kerala
131,Thiruvananthapuram,24,Tamil Nadu
132,Thoothukudi,24,Tamil Nadu
132,Thoothukudi,67,Michigan
133,Thrissur,13,Kerala
134,Tiruchirappalli,24,Tamil Nadu
134,Tiruchirappalli,88,Texas
135,Tirunelveli,24,Tamil Nadu
135,Tirunelveli,67,Michigan
136,Udaipur,5,Chhattisgarh
136,Udaipur,9,Himachal Pradesh
136,Udaipur,14,Madhya Pradesh
136,Udaipur,22,Rajasthan
136,Udaipur,26,Tripura
137,Ujjain,14,Madhya Pradesh
138,Vadodara,7,Gujarat
139,Varanasi,28,Uttar Pradesh
140,Vijayapura,12,Karnataka
141,Virudhunagar,24,Tamil Nadu
142,Visakhapatnam,1,Andhra Pradesh
142,Visakhapatnam,80,North Dakota
143,Vizianagaram,1,Andhra Pradesh
144,Wardha,14,Madhya Pradesh
144,Wardha,15,Maharashtra
145,Yamuna Nagar,8,Haryana
146,Adilabad,25,Telangana
146,Adilabad,28,Uttar Pradesh
147,Aizawl,18,Mizoram
148,Aligarh,14,Madhya Pradesh
148,Aligarh,21,Punjab
148,Aligarh,22,Rajasthan
148,Aligarh,28,Uttar Pradesh
148,Aligarh,173,Nunavut
149,Alipurduar,29,West Bengal
150,Almora,27,Uttarakhand
151,Alwar,22,Rajasthan
151,Alwar,43,Delhi NCR
152,Ambedkar Nagar,1,Andhra Pradesh
152,Ambedkar Nagar,28,Uttar Pradesh
153,Amethi,5,Chhattisgarh
153,Amethi,28,Uttar Pradesh
154,Amreli,7,Gujarat
155,Amroha,9,Himachal Pradesh
155,Amroha,28,Uttar Pradesh
156,Anantnag,10,Jammu and Kashmir
157,Angul,20,Odisha
158,Ashoknagar,14,Madhya Pradesh
158,Ashoknagar,25,Telangana
158,Ashoknagar,29,West Bengal
159,Auraiya,4,Bihar
159,Auraiya,28,Uttar Pradesh
160,Azamgarh,4,Bihar
160,Azamgarh,28,Uttar Pradesh
161,Badgam,10,Jammu and Kashmir
162,Bagalkot,12,Karnataka
163,Bageshwar,27,Uttarakhand
164,Bahraich,28,Uttar Pradesh
165,Balaghat,14,Madhya Pradesh
165,Balaghat,15,Maharashtra
165,Balaghat,29,West Bengal
166,Balangir,20,Odisha
167,Ballari,12,Karnataka
168,Ballia,4,Bihar
168,Ballia,28,Uttar Pradesh
168,Ballia,144,Jakarta
169,Balod,5,Chhattisgarh
170,Balrampur,5,Chhattisgarh
170,Balrampur,11,Jharkhand
170,Balrampur,28,Uttar Pradesh
170,Balrampur,29,West Bengal
171,Banaskantha,7,Gujarat
172,Banda,14,Madhya Pradesh
172,Banda,15,Maharashtra
172,Banda,28,Uttar Pradesh
173,Banka,4,Bihar
174,Bankura,4,Bihar
174,Bankura,29,West Bengal
175,Barabanki,28,Uttar Pradesh
175,Barabanki,112,Rhineland-Palatinate
176,Baramulla,10,Jammu and Kashmir
177,Baran,22,Rajasthan
178,Bareilly,28,Uttar Pradesh
178,Bareilly,70,Mississippi
179,Bargarh,5,Chhattisgarh
179,Bargarh,11,Jharkhand
179,Bargarh,14,Madhya Pradesh
179,Bargarh,20,Odisha
179,Bargarh,28,Uttar Pradesh
180,Barmer,22,Rajasthan
181,Barnala,9,Himachal Pradesh
181,Barnala,21,Punjab
181,Barnala,22,Rajasthan
182,Barpeta,3,Assam
183,Barwani,14,Madhya Pradesh
183,Barwani,28,Uttar Pradesh
184,Basti,15,Maharashtra
184,Basti,27,Uttarakhand
184,Basti,28,Uttar Pradesh
185,Beed,14,Madhya Pradesh
185,Beed,15,Maharashtra
186,Betul,14,Madhya Pradesh
187,Bhadohi,4,Bihar
187,Bhadohi,28,Uttar Pradesh
188,Bhadrak,20,Odisha
188,Bhadrak,28,Uttar Pradesh
189,Bhandara,15,Maharashtra
189,Bhandara,22,Rajasthan
190,Bhavnagar,7,Gujarat
190,Bhavnagar,15,Maharashtra
191,Bhind,14,Madhya Pradesh
192,Bijapur,5,Chhattisgarh
192,Bijapur,12,Karnataka
192,Bijapur,22,Rajasthan
193,Bijnor,28,Uttar Pradesh
194,Birbhum,4,Bihar
194,Birbhum,29,West Bengal
195,Bishnupur,16,Manipur
195,Bishnupur,29,West Bengal
196,Bokaro,11,Jharkhand
196,Bokaro,14,Madhya Pradesh
197,Bongaigaon,3,Assam
198,Botad,7,Gujarat
199,Boudh,20,Odisha
200,Budaun,28,Uttar Pradesh
201,Bundi,22,Rajasthan
202,Burhanpur,14,Madhya Pradesh
202,Burhanpur,15,Maharashtra
202,Burhanpur,28,Uttar Pradesh
203,Buxar,4,Bihar
203,Buxar,11,Jharkhand
204,Cachar,3,Assam
205,Chamarajanagar,12,Karnataka
206,Chamba,9,Himachal Pradesh
206,Chamba,27,Uttarakhand
207,Chamoli,27,Uttarakhand
208,Champawat,27,Uttarakhand
209,Champhai,18,Mizoram
210,Chandauli,4,Bihar
210,Chandauli,28,Uttar Pradesh
211,Chandrapur,5,Chhattisgarh
211,Chandrapur,15,Maharashtra
211,Chandrapur,29,West Bengal
212,Changlang,2,Arunachal Pradesh
213,Charkhi Dadri,8,Haryana
213,Charkhi Dadri,43,Delhi NCR
213,Charkhi Dadri,93,Wyoming
214,Chatra,11,Jharkhand
214,Chatra,29,West Bengal
215,Chhatarpur,4,Bihar
215,Chhatarpur,11,Jharkhand
215,Chhatarpur,14,Madhya Pradesh
215,Chhatarpur,27,Uttarakhand
215,Chhatarpur,28,Uttar Pradesh
215,Chhatarpur,34,Delhi
215,Chhatarpur,104,Berlin
216,Chhindwara,14,Madhya Pradesh
217,Chirang,3,Assam
218,Chitradurga,12,Karnataka
219,Chittoor,1,Andhra Pradesh
219,Chittoor,12,Karnataka
219,Chittoor,24,Tamil Nadu
220,Chittorgarh,22,Rajasthan
221,Churachandpur,16,Manipur
222,Churu,22,Rajasthan
223,Cooch Behar,22,Rajasthan
223,Cooch Behar,29,West Bengal
224,Cuddalore,24,Tamil Nadu
225,Daman,7,Gujarat
225,Daman,22,Rajasthan
225,Daman,33,Daman and Diu
226,Damoh,14,Madhya Pradesh
227,Dantewada,5,Chhattisgarh
228,Darbhanga,4,Bihar
228,Darbhanga,17,Meghalaya
229,Darrang,3,Assam
229,Darrang,17,Meghalaya
230,Datia,14,Madhya Pradesh
231,Dausa,22,Rajasthan
232,Deoghar,11,Jharkhand
232,Deoghar,15,Maharashtra
232,Deoghar,20,Odisha
233,Deoria,4,Bihar
233,Deoria,27,Uttarakhand
233,Deoria,28,Uttar Pradesh
234,Dewas,8,Haryana
234,Dewas,14,Madhya Pradesh
234,Dewas,22,Rajasthan
235,Dhar,14,Madhya Pradesh
236,Dharmapuri,1,Andhra Pradesh
236,Dharmapuri,15,Maharashtra
236,Dharmapuri,24,Tamil Nadu
236,Dharmapuri,25,Telangana
236,Dharmapuri,66,Massachusetts
237,Dhemaji,3,Assam
238,Dhenkanal,20,Odisha
239,Dholpur,7,Gujarat
239,Dholpur,9,Himachal Pradesh
239,Dholpur,14,Madhya Pradesh
239,Dholpur,22,Rajasthan
239,Dholpur,28,Uttar Pradesh
240,Dhubri,3,Assam
241,Dhule,15,Maharashtra
242,Dindori,14,Madhya Pradesh
242,Dindori,15,Maharashtra
243,Diu,33,Daman and Diu
244,Doda,5,Chhattisgarh
244,Doda,10,Jammu and Kashmir
244,Doda,21,Punjab
245,Dumka,7,Gujarat
245,Dumka,11,Jharkhand
245,Dumka,194,Lazio
246,Dungarpur,7,Gujarat
246,Dungarpur,22,Rajasthan
246,Dungarpur,28,Uttar Pradesh
247,East Champaran,4,Bihar
248,East Godavari,1,Andhra Pradesh
249,Erode,24,Tamil Nadu
250,Etah,22,Rajasthan
250,Etah,28,Uttar Pradesh
250,Etah,205,Umbria
251,Etawah,28,Uttar Pradesh
252,Faizabad,8,Haryana
252,Faizabad,25,Telangana
252,Faizabad,28,Uttar Pradesh
253,Farrukhabad,28,Uttar Pradesh
254,Fatehabad,8,Haryana
254,Fatehabad,21,Punjab
254,Fatehabad,28,Uttar Pradesh
255,Fatehpur,4,Bihar
255,Fatehpur,8,Haryana
255,Fatehpur,9,Himachal Pradesh
255,Fatehpur,22,Rajasthan
255,Fatehpur,28,Uttar Pradesh
255,Fatehpur,29,West Bengal
256,Fazilka,21,Punjab
257,Firozabad,12,Karnataka
257,Firozabad,28,Uttar Pradesh
258,Gadag,12,Karnataka
259,Gadchiroli,15,Maharashtra
260,Ganderbal,10,Jammu and Kashmir
261,Garhwa,11,Jharkhand
261,Garhwa,14,Madhya Pradesh
262,Gaya,4,Bihar
263,Ghazipur,4,Bihar
263,Ghazipur,28,Uttar Pradesh
263,Ghazipur,70,Mississippi
264,Giridih,11,Jharkhand
265,Goalpara,3,Assam
265,Goalpara,4,Bihar
265,Goalpara,11,Jharkhand
266,Golaghat,3,Assam
267,Gonda,28,Uttar Pradesh
268,Gopalganj,4,Bihar
268,Gopalganj,11,Jharkhand
268,Gopalganj,29,West Bengal
269,Gulbarga,12,Karnataka
270,Gumla,4,Bihar
270,Gumla,11,Jharkhand
271,Guna,14,Madhya Pradesh
272,Gurdaspur,4,Bihar
272,Gurdaspur,21,Punjab
273,Hanumangarh,5,Chhattisgarh
273,Hanumangarh,14,Madhya Pradesh
273,Hanumangarh,22,Rajasthan
273,Hanumangarh,63,Louisiana
274,Hapur,28,Uttar Pradesh
274,Hapur,43,Delhi NCR
275,Harda,4,Bihar
275,Harda,14,Madhya Pradesh
276,Hardoi,28,Uttar Pradesh
276,Hardoi,231,Ishikawa
277,Haridwar,27,Uttarakhand
277,Haridwar,130,Caribbean Netherlands
278,Hassan,12,Karnataka
279,Hathras,28,Uttar Pradesh
280,Haveri,12,Karnataka
281,Hingoli,15,Maharashtra
281,Hingoli,22,Rajasthan
282,Hisar,4,Bihar
282,Hisar,8,Haryana
283,Hojai,3,Assam
284,Idukki,13,Kerala
285,Jagatsinghpur,4,Bihar
285,Jagatsinghpur,20,Odisha
286,Jajpur,20,Odisha
286,Jajpur,28,Uttar Pradesh
