career_title,skills_required,duration,original_price,discounted_price,next_batch_date,degrees
Business Development Executive,Communication (Spoken/Writing); Basic MS Word Excel and PowerPoint,2 weeks,2999,1999,2026-02-01,BA|BSc|BCom
Content Writer,Communication (Spoken/Writing); Basic MS Word Excel and PowerPoint,2 weeks,2999,1999,2026-02-01,BA|BSc|BCom
Operation Executive,Communication (Spoken/Writing); Basic MS Word Excel and PowerPoint,2 weeks,2999,1999,2026-02-01,BA|BSc|BCom
Human Resource Executive,Communication (Spoken/Writing); Basic MS Word Excel and PowerPoint,2 weeks,2999,1999,2026-02-01,BA|BSc|BCom
Data Analysis,Basics of Analytics; Any Visualization Tool; Basics of Database Management; Basic MS Word Excel and PowerPoint,4 weeks,4999,2999,2026-02-01,BA|BSc|BCom
